film_key,review_clean
Hunger (2008),"The 17 minute unbroken long take dialogue between Fassbender and Cunningham is insane. Incredible debut from McQueen. Definitely need to check out the Small Axe anthology film series, and Occupied City whenever that releases."
Benny's Video (1992),"I recently found myself coming across Haneke's criticism of Spielberg's Schindler's List , saying, in so many words, that it's perverse to aim for entertainment when depicting something so harrowing. After watching The Zone of Interest and how Glazer portrays the casual complicity with which quote-unquote regular people show in situations of unfathomable horror, Haneke's words rang around my head even more, likely more so because of comparisons to The White Ribbon . Not only do I think I should probably revisit Schindler's List , especially after learning more about the misrepresentation of Oskar Schindler in the film, but I also think I should reconsider the way I view violence in media as opposed to real life. Benny's Video examines how to observe violence through the barrier of a screen, but instead of focussing on voyeurism, it rather brilliantly looks at desensitisation, and how one can just as easily mop up spilled blood as spilled milk. We find ourselves empathising with Benny's parents when they're put in an impossible situation, and begin to strategise with them about how they are going to escape it. Without even thinking, we lend ourselves to complicity, once again through the safety of a screen. People are products of their environment, yes, but what Benny's Video so expertly demonstrates is how people can conversely shape the environment that they're in, just so they can see what it's like. Much of the film, including Arno Frisch's chilling performance, laid the foundation for its successor, Funny Games, where Haneke calls out the viewer for the aforementioned complicity, and explores a world of consequences where there is no alternative. For so many, the choice of adapting to your environment isn't really a choice at all. So when we see footage of a pig being slaughtered on a farm, it feels uncomfortable, but when we see what's essentially the same thing in an Egyptian village with a chicken, it feels normal. One feels cold and emotionless; the other feels necessary. Whether viewing footage of war on the news or seeing the same in a film, it's important to make that distinction to avoid blurring the lines on how truly awful real suffering can be."
Michael Clayton (2007),"Sometimes, on this app, I rate films accompanied by a meticulously crafted short essay of justification as to why I felt that way about them. Other times I rate them based on whether they have the sauce. And Michael Clayton has the sauce. Heaps of it in fact."
50/50 (2011),He's a stronger man than me. I think I would've folded for BDH.
Possessor (2020),"Leagues above Infinity Pool. I can now forgive Andrea Riseborough for her To Leslie campaigning debacle because she's sensational here, as is Christopher Abbott. Dark, eerie, and psychedelic in ways that other elevated horrors only wish they could reach."
NYAD (2023),"Set aside the controversy behind Diana Nyad's claims and achievements, which is enough to criticise the film in its own right, NYAD is still a woefully vapid biopic with enough pointless filler to make your average Oscar-bait feature look like a masterpiece. There's no depth to any of the characters, besides whatever Jodie Foster can muster just on charisma alone, and the creative decisions don't go beyond that of an unimaginative documentary."
The Big Sick (2017),"Loved how personal this was; you could really feel that all the way throughout. Not usually a massive fan of Kumail Nanjiani and frankly his stand up bits in this still weren't that funny, but nonetheless still really enjoyed this. Might be a new comfort movie of mine."
Not Another Teen Movie (2001),"Whenever I watch a parody movie, I think, ""Wow this is awful, why did they ever make this?"" But at the same time I weirdly miss that they don't really make them anymore. I mean, this contains just about every negatively connoted '-ism' in the world, but there are a couple jokes and references here and there that kind of land. Maybe there's just such a low bar set for these kinds of movies that this one just doesn't suck as much by comparison, but it does still suck quite a bit."
El Conde (2023),"Certainly smug and without a doubt on the nose, Larraín's El Conde aims this satire about Chilean dictator Augusto Pinochet more towards a mockery of the parasitic nature of his fascist rule than to any particular event under it. In much the same way as Ridley Scott navigated the life of his own sleazy, militarist juvenile in Napoleon without any real strive for accuracy, El Conde also reads as a purposefully lightly-researched opinion piece. It's a trait that serves in its favour when conducting these witty, Knives Out style interviews with Pinochet's family, or when it turns to its vampiric horror, but works against it when it tries to do anything more."
Ran (1985),"""It is the gods who weep. They see us killing each other over and over since time began. They can't save us from ourselves."" Definitely drags a little in the midsection, but everything surrounding it is pure mastery. Ran is my first Akira Kurosawa film in colour, and wow, does he make use of it. Probably one of the best-looking films I've ever seen, from stunning battle sequences to idyllic mountains towering over fortresses. Couldn't help but try to laughably draw comparisons to Succession, given that each of them are essentially King Lear adaptations from different eras. It is definitely an interesting conversation to have as to why tragedy draws us in so much, Shakespearean or otherwise, especially when we know that there cannot be any other resolution. Is it holding out hope that we might be wrong, or are these stories just vehicles for us to teach ourselves to appreciate things while they're here? To that end, Ran tells us to not waste time with avarice and greed because that only breeds more of the same, but instead to cherish the things that matter; a sentiment so poignant when you consider the level of artistry achieved by a man who was turning blind, no longer able to experience in the same way the visual medium he had dedicated his life to."
On the Count of Three (2021),"Wanted to love this, but hard to say that it didn't feel a bit disingenuous. Naturally when approaching a subject matter like this, your first thought would to tackle it with a sprinkle of dark humour and the occasional sardonicism. But here, unfortunately, it just does not feel that convincing. Each moment of laughter should either be sharply contrasted with the overarching goal of suicide, or serve as a reminder that life is worth living, but On the Count of Three does neither. Now, you could argue that it chooses this path to deviate from what you'd expect from a film like this, but it's just so painstakingly predictable how this was going to end from the very start. It's a shame really, because I did really enjoy Christopher Abbott and Jerrod Carmichael in their respective roles, but the steps that lead to their mental state just feel too severely underwritten."
Dune: Part Two (2024),"Since the beginning of human existence, religion has been used as a vehicle to provide comfort, give peace, but also to control. In line with Marxist belief, it is an opiate of the people, and given the widespread anticipation for the release of a sequel to Denis Villeneuve's sci-fi epic, Dune , one would be hard-pressed to say that the series hasn't garnered a similar level of euphoric cult following, an ideal that aligns with the basis for this successor. There are few films that can be described as generation-defining, but I don't think there can be any doubt about Dune: Part Two wearing that helm. All throughout history, the tenets of hereditary leadership amidst an immense accumulation of power have led to a weaponised charge for superiority and a subsequent control over those you're supposed to inspire. Ideas drip like poison in tyrannical regimes, so much so that even clairvoyants can turn a blind eye. Paths of feigned morality now lead to a Machiavellian climb to power with flagrant disregard for the cost. These ideas are all wrapped in the shell of an exhilarating blockbuster, which, in the same way as Cameron does in Avatar: The Way of Water , takes the time to allow us to bask in the sheer magnitude of its breathtaking worlds. Chalamet proves to be a formidable leading star, with each of his cast mates equally as compelling, and for once, a franchise leaves me wanting more instead of less. Rest assured, I'll be at the front of the swathes of people waiting restlessly for a third instalment, whenever that may be."
The Guard (2011),"""He's my favourite, Goofy"" Was totally unaware that Queen Maeve was Irish until now."
Jack Reacher (2012),"Nice to see McQuarrie and Cruise teaming up before they struck gold with the Mission: Impossible films. A pretty decent action flick, a bit too long but still fairly fun."
The Color Purple (2023),This just did not want to end.
Blow Out (1981),"""It's a good scream. It's a good scream."" What a picture!"
Eastern Promises (2007),"Must say that I think I much prefer Cronenberg's more obscure work, but this twist on a mob flick is pretty interesting, especially with Viggo Mortensen at the helm. Still have to see A History of Violence and A Dangerous Method to complete their collaborations together, but it's probably one of my favourite career moves for him to go from doing The Lord of the Rings trilogy to these films."
The Gift (2015),This would be the type of film to give me nightmares as a kid because I never really used to watch out-and-out horrors but my parents deemed it plenty fine for me to watch psychological thrillers.
A Bigger Splash (2015),Ralph Fiennes is insane in this.
Lars and the Real Girl (2007),"I'm always a little conflicted about these films about mental illness that sort of deviate from what things would be like in the real world. On the one hand, it is nice seeing this idealised version of what we expect empathy to look like, and it's comforting to live in this escapism if not just for a little while. But on the other hand, it's just not a reflection of what living, and being around someone, with mental illness is like. And I get that things vary from person to person, and that it's not exactly a necessity to show all the harshness, but it's just something that stops me connecting with this entirely."
Happiness (1998),"Alright dude, what the flip?"
Sometimes I Think About Dying (2023),"Sometimes I Think About Dying doesn't bring anything particularly new to the array of quiet Sundance indies that explore similar themes, and while Severance may lead the way in terms of the liminal, office space surrealist pieces, it still has just enough there to feel relatable and warm. Daisy Ridley gives what's probably her best performance to date even though, utterly unfairly, she hasn't been in all that much since her rise from the Star Wars sequels. The film doesn't quite justify even the 94-minute runtime, and would have been probably best suited to being a short instead. Nevertheless, I hope this serves as the propulsion Ridley needs to get herself in more projects, indie or otherwise, but I'm unsure as to whether the upcoming Rey solo film will boost or hamper that progress."
Drive-Away Dolls (2024),Did Ethan Coen just out Emma Seligman Emma Seligman? Idk maybe? Probably not.
Little Fish (2020),"""I was so sad the day I met you, I can't remember why"" Can Olivia Cooke stop being in movies that make me cry? But seriously really love that she finally gets to use her actual voice here. I'm a big of Eternal Sunshine of the Spotless Mind , but I think I actually prefer the more restricted, dialled back approach taken here as it just feels so much more real. Not only that though, but it is set in a pandemic just before the actual pandemic happened, and I can only imagine watching this back then would have made it hit even harder."
Strawberry Mansion (2021),"Some gorgeous imagery and really quite remarkable production design here, especially for the budget, but I can't say that I was all that engaged by the narrative overall besides the love story and I also found the audio to be a bit off. Honestly wish it was just about a man falling in love with a woman through her dreams rather than all the tax audit advertising bits."
Insomnia (2002),"Insomnia is the only feature film in Christopher Nolan's filmography that he didn't at least co-write, and you can definitely feel it here and there. It's a solid cop thriller that gets a little jumbled in the middle, but mostly sticks the landing, although a more biting conclusion definitely could have been reached. Al Pacino and Robin Williams are pretty good here though, and propel us through what would otherwise be some pretty half-baked dialogues. Nevertheless, it feels good to finally finish Nolan's filmography, aside from a few short films."
Speed Racer (2008),Guarantee if I had watched this when it came out it would be one of my favourites of all time and probably would have had a pretty big impact on my childhood. Still glad I'm finally getting around to watching it now though; can only imagine how exhilarating this would be in theatres.
Ricky Stanicky (2024),"Whatever you think of Ricky Stanicky , you have to commend John Cena's commitment to the bit."
Indiana Jones and the Dial of Destiny (2023),"You'd think the most exciting thing for a historian to experience would be to witness first-hand the events that they so diligently study, and while this fifth instalment in the Indiana Jones franchise sees the titular character experience just that, it so pitifully fails at being exciting. On paper, Dial of Destiny had just about everything going for it: Mangold coming off the back of Logan and Ford v Ferrari , Mads Mikkelsen and Boyd Holbrook as the antagonists, and Harrison Ford passionately returning with just about the only character in his filmography he still holds dear. Unfortunately it neither succeeds as a nostalgia-bait homage nor as something new and fresh. For the most part, it's just a nothing film, and while I'm sure watching this on a plane probably didn't help in my immersion, I'm sorely disappointed to say that this is probably my least favourite of the series."
Tenet (2020),"""Don't try to understand it. Feel it."" Still have my issues with this, but on vibes alone there's nothing quite like Tenet in Nolan's filmography, and any issues are diminished to nothing after a temporal pincer movement."
Decision to Leave (2022),"""If grief envelops some like a crashing wave, there are some to whom it spreads more slowly, like ink in water."" Even more spellbinding than when I first watched it. Utterly insane to me that a film of this quality may only be my 3rd or so favourite Park Chan-wook film. The epitome of a neo-noir in the digital world, be that through means of investigation or just the astounding digital cinematography all throughout. Absolutely has to be one of my favourites of the 21st century now."
Galveston (2018),"My first of Laurent's directorial efforts, and I must say I am fairly excited to see more. While the shades of Rustin Cohle from Pizzolatto's novel that this was based on can be felt all over the grizzly character that Ben Foster embodies, it certainly feels like Galveston is at its best when it's more like The Florida Project than True Detective . That being said, Elle Fanning is spectacular as always, and Laurent's direction shines throughout, especially in a head-turning oner that subverts one's expectations from a bloody shootout, with its aftermath leaves more to chew on than simply bullets. But when undertaking a story such as this in just 91 minutes, you need a little more than just that."
Layer Cake (2004),"So funny how wildly different Sally Hawkins and Ben Whishaw are here to their usual roles. Daniel Craig is good. Michael Gambon is great. Sad to see where Vaughn has ended up with his last 3 films being pretty much schlock, even though I've yet to see Argylle , but let's hope that the rumours of some sort of Argylle-Kingsman cinematic universe die a fiery death and he returns to making films like this."
I'm Thinking of Ending Things (2020),"As if A Woman Under the Influence wasn't already a long, long overdue watch, this comes along and gives an insightful and articulate breakdown of the film in a breathless dialogue between Jessie Buckley and Jesse Plemons (only just realised while writing this that they both have near enough the same first name)."
Your Name. (2016),"Not really a massive anime connoisseur outside of Ghibli and a few of the more mainstream series out there, but finally getting around to watching Your Name. has perhaps convinced me to give them more of a go. Absolutely stunning animation that western cinema really can't even get close to, and a cute and heartwarming story to boot."
North by Northwest (1959),"Feels like a bigger and better version of The 39 Steps , with each of these set pieces being more impressive than the last. Ends a little quick for me, but I'd say I've had that same experience for every Hitchcock film so I think it's best just to get used to it. But nevertheless, this is my favourite so far, by far."
Lady Macbeth (2016),"Based on a novella from Russian novelist Nikolai Leskov rather than directly drawing from the original Shakespeare play, Lady Macbeth basks in its slow, sultry darkness, with Florence Pugh encapsulating the familiar manipulative qualities of the eponymous woman in a gradual descent that grows increasingly ominous- a performance indicative of her subsequent deserved propulsion into stardom. There's much to be said in the conversation about the recontextualisation of Shakespeare's characters over time, and none are perhaps as infamously maligned as Lady Macbeth, known here as Katherine Lester. But instead of angling the film in a way that makes us feel any real sympathy for Katherine, Oldroyd instead takes a uniquely dark path with some truly sinister moments, which are compelling but do leave a gap for a little more nuance. In a similar way to which Sofia Coppola explores Marie Antoinette's loss of naivety as she's confined within the four walls of her residence, Oldroyd explores the consequences of regressive confinement. The film essentially serves as a cautionary tale of what society felt at the time would happen if women, particularly outspoken, audacious women such as Katherine, were given the licence to make choices of their own, rather than being satisfied with being reduced to mere property."
Inside Man (2006),Had to do a double take when I heard Chaiyya Chaiyya at the start of this.
Tokyo Sonata (2008),"""How wonderful it would be if my whole life so far turns out to have been a dream, and suddenly I wake up and I'm someone else entirely."" The master of horror Kiyoshi Kurosawa instead points his lens at the horrors of urban malaise in Tokyo Sonata , trading chilling scares for domestic drama. Unlike his countryman Hirokazu Kore-eda, whose films, described by shomin-geki, are the bonafide epitome of the sub-genre, Kurosawa instead focuses on ideas at large, commenting on how gender roles and masculinity can spread like a disease in modern households, equally in western and eastern cultures, crushing any semblance of ambition or hope in favour of pride. In spite of being infused with abundant traces of satire, the film is overwhelmingly bleak for much of its runtime, and where we think we see cracks forming in the familial structure from the weight of financial stress, we instead notice that they've been there all along. The thinly veiled façade is lifted, and we're left with two battling ideas of what could have been and what could be."
This Is 40 (2012),Judd Apatow needs to be arrested for his crimes.
Affliction (1997),"Nick Nolte is absolutely outstanding in this. Weirdly enough he reminds me quite a bit of Ethan Hawke, who probably gives my favourite performance across Schrader's filmography in First Reformed, with his mannerisms and speech. But this performance is a close second."
Uncle Boonmee Who Can Recall His Past Lives (2010),"Sometimes an artist's work can feel so profoundly personal that it can be difficult to connect with. While you can recognise the heart that's put into it, you can never feel any more than a distant spectator. For most of my first Apichatpong Weerasethakul film, I felt that way. There are moments, especially in slow cinema, where you can feel entirely immersed in the experience, transfixed by nothing in particular, but nevertheless immersed. Uncle Boonmee Who Can Recall His Past Lives is a film firmly rooted in experience, so while at times you can feel as if you could lose yourself in the stories being told, more often than not they're at an arms length, and there's only so far empathy can take you."
Adventureland (2009),"Certainly has the vibes of Linklater without the commitment to pull it off. I mean was there any real reason why this was set in the 80s instead of present day? Nevertheless, Kristen Stewart and Martin Starr are pretty great, and Ryan Reynolds is surprisingly more palatable than usual. Still haven't made my mind up on Jesse Eisenberg as he still seems to play the same guy in every film he's in with varying levels of insufferability, but luckily he's on the somewhat lower end of that spectrum here."
Ghost in the Shell (1995),"Clearly borrows a lot from Blade Runner , so it's no wonder why I adore the cyberpunk world and all its futuristic aesthetics (funny because this is set just 5 years from now). Unfortunately, it's just a bit too sterile for me, and the reason Ridley Scott's film works so well is the contrast between the harsh and soulless environment to the romance, and that doesn't really exist here."
Half Nelson (2006),"Very much in the same ballpark as Detachment in so much as it explores the dynamic between a teacher and his students, both equally as troubled in their own ways. A top performance from Ryan Gosling as always, and while Half Nelson often overcommits in the direction of being grounded to the point where it can become a little repetitive, it doesn't do so to the point where it has nothing to say. In fact, it posits some worthwhile points about white saviour narratives, some of which puts films of a similar vein such as Freedom Writers to shame. But it also shows how the give-and-take nature of teaching is not too dissimilar to the give-and-take nature of addiction, and how each can have an influence on young, vulnerable kids' lives."
The Vanishing (1988),"I'm actually quite surprised at just how funny I found this. Perhaps that makes me a sadist, and while dark humour isn't unheard of in thrillers, I was surprised at just how much there was in a film that ends this cynically, particularly one which Kubrick famously said was the scariest he'd ever seen. Nevertheless, I can concur with just about every point made about The Vanishing , all of which come to the shared conclusion that it excels in that it's just so horrifyingly straightforward. In films like these, there are always twists and turns and subversions used to lead the audience astray from what really happened, just so that the final reveal hits that much harder, but here there's next to none of that. In its stead is a slow unraveling of events, and a chilling portrayal of what an everyday family man could become just out of sheer curiosity."
Challengers (2024),"If the supply of nearly half a million condoms to Olympic Village at Rio 2016 is anything to go by, it's that athletes are supremely horny, especially at the highest level where competition is their lifeblood. When talking about a sport where grunting is essentially paraphernalia, in a film directed by Luca Guadagnino, that sentiment is going to carry through tenfold. Challengers is absolutely invigorating, with the dynamic duo of Reznor and Ross thrusting the narrative forward with pulsating electro-pop synths, crafting what's perhaps their most galvanic score to date, or at the very least since The Social Network . If the discourse surrounding whether or not Zendaya is a movie star (in the traditional sense of the phrase) left you sitting on the fence, or net more aptly, then Challengers will be sure to tip you over the edge. Faist and O'Connor are equally if not more compelling though, in fact the latter gives by far the standout performance of the film, and do terrifically well to embody the sweat-drenched head-over-heels ""white boys"" as Zendaya's character Tashi so potently puts it. It's a film where advantages aren't just something gained on the court, but a means to outmanoeuvre and sabotage. But Kuritzkes' script is less interested in the match winner, and more focused on the psychosexual point scoring, but that doesn't come at the expense of some thrilling playing sequences, particularly in those last 10 exhilarating minutes."
The Fountain (2006),"Malick did it better. Do yourself a favour and watch The Tree of Life instead. Also, I bet that book sold 0 copies."
Dog Day Afternoon (1975),"Between this and ...And Justice For All for Pacino, and this and 12 Angry Men for Lumet, they must have been some of the more progressive people in Hollywood at the time and I love that. The scope Lumet has to make his films poignant to this very day is astounding. On another note, as I'm sure has been pointed out tons of times already, but 1975 was such a killer year for film: Dog Day Afternoon, One Flew Over the Cuckoo's Nest, Nashville, Jaws, Mirror, Barry Lyndon, and tons more I'm missing I'm sure."
"4 Months, 3 Weeks and 2 Days (2007)","Just imagine if any of the voters for overruling Roe v. Wade in the US back in 2022 watched this film. I would hope that the outcome would have been significantly different. The amount of anxiety and dread Mungiu is able to instil into a narrative that's fairly minimalistic is mind-blowing. With long takes that only ramp up the tension with every second they linger on, and conflicts that are restricted to the periphery as to highlight the effects a problem is causing rather than the problem itself. It's brilliant stuff all around; hats off to the actors for making it feel so real."
Jules and Jim (1962),"Adored the first act of this, but after that I sort of lost interest: character motivations become unclear and the film just ends up meandering a little. I haven't seen many, but I'm yet to see a film that totally blows me away from the French New Wave yet. I suppose I will have to keep watching."
First Cow (2019),"Really gorgeous stuff. I mean, easily one of the best looking digital films out there surely? And the day-for-night cinematography is just nothing short of spectacular. As for the story, it's quite brilliant how First Cow positions you in such a way as to root for its protagonists, particularly when they're the opposite of everything prototypical about Western leads. Yet we root for them nevertheless, even when they're just as opportunistic as all the people they encounter throughout the film. Sure, the capitalist greed stemming from the top of this newborn regime is what breeds this scrounging for survival, but it goes to show that both parties are equally as inclined to take advantage of those with less power than themselves. It's very much the genesis of the modern idea of the American dream, in a similar thematically tangential way as There Will Be Blood is the genesis of American capitalism, and Reichardt leaves it very much up to the viewer of whether they see it in a negative or positive light. There's camaraderie to be found in a shared ambition, but that also leaves room to exploit the naive. The land upon which opportunities are built can both metaphorically and physically feel like a capsule of a foregone time, and so it can be difficult to imagine it as the basis of anything new. It's easy to watch the trees grow, the people move, and the landscape change and think that everything that can be done already has. But within that sentiment lies a poignant statement about the cyclical nature of systemic inequalities that lay seeded in the very same soil that plagues the institutions of the present."
Results (2015),"Doesn't try and do too much, plus it's lighthearted fun and easy to watch. Smulders, Pearce, and Corrigan are great."
Trading Places (1983),"I'm sure this may have even been labelled progressive for the early 80s, but looking back on Trading Places now, it's hard to say that it hasn't aged poorly. From a slurry of racial stereotypes and outdated language, to actual blackface and to top it off a shot of the twin towers that evoked a notably ironic chuckle from me after I said, ""How could this age worse?"" before remembering that it was directed by a child murderer. Be that as it may, Eddie Murphy is absolutely stellar here in what is probably his breakthrough role- from innocuous, fourth-wall-breaking looks into the camera, to just some fantastic physical comedy that he later became known for. While it's nice to see the situation flip on its head come its resolution, it's not hard too see where the butt of the majority of the jokes lie, and so including the obligatory 'Landis is awful' comment, I'm just not sure our protagonists actually learn anything by the end of this."
Moulin Rouge! (2001),I had a headache before this so imagine how my head is feeling now.
Wuthering Heights (2011),"I can't decide whether it's a good thing or not that I'm not at all familiar with the pillars of classic literature that these period pieces are often adaptations of, outside of the names of their esteemed authors. Sometimes you can get lost in trying to make sure a retelling is faithful to the original story that you forget to consider artistic intent. Irrespective of that, I do very much adore how intimately Wuthering Heights is tied to its location- from the fog enveloped moors and perpetual rain, to the boggy mire and native wildlife. Andrea Arnold's liberal use of close-ups and handheld, as well as the 4:3 aspect ratio, keeps us within reach of the characters as well as the landscape, allowing us to feel the emotion even with the surrounding context stripped back. While the film is overlong and the child actors are far more convincing than their aged counterparts, it's this naturalistic approach from Arnold that leaves Wuthering Heights feeling memorable."
"Right Now, Wrong Then (2015)","It's always interesting watching these metatextual films, because they highlight things in such a way that is a wholly unique experience to anything else. In Right Now, Wrong Then , Hong Sang-soo recognises the power of the medium by which he is telling the story. So in the first half when things are awkward, messy, and ultimately failed, they mirror how most things go in real life. But Hong recognises that the art of cinema is escapism (and brilliantly omits the director's own definition in the second half to allow us to come to this conclusion ourselves), and so manipulates the power of the medium to change things to better fit this reality, quite literally showing things from another angle. It's no longer awkward, at least not to the degree of estrangement, and character's decisions more comfortingly mimic that of a traditional romance narrative; it's bittersweet, but it allows us to resonate with parts of each half that feel pertinent to our own stories."
I'm Your Man (2021),"Dan Stevens is absolutely hilarious in this. Who'd have thought that he was also fluent in German on top of all the other things he's got going for him. It was nice to see a more humorous version of this narrative instead of the Her or Black Mirror 's Be Right Back types . That's not to say I'm Your Man doesn't find it's moments of introspection however, but it does so in a way that doesn't feel melodramatic, and it blends the sci-fi in brilliantly."
Annette (2021),"Wildly imaginative and wholly unlike anything I've ever seen before, but I'd be lying if I said that this wasn't a slog past the first act or so. Driver is so obviously one of the most talented actors of his generation, furthered only by the projects he chooses to star in, and there's no change to that here. Once you understand what Carax is going for, everything else that follows simply becomes spectacle rather than anything steeped in interesting commentary, and there's only so much you can get out of being wowed by some spectacularly framed musical numbers, unfortunately leaving Annette in the camp of films that I can respect, but not necessarily enjoy."
Una (2016),"It seems a given that films that depict themes of sexual abuse, especially those instances including children, are bound to be divisive. Some people see the depiction of such media as endorsement, and naturally it's one of the most difficult subject to get right. With Una , adapted from the play Blackbird by David Harrower who also wrote the screenplay for the film, Andrews aims to show how the toil on the victims can be a far worse punishment than whatever befalls the malefactors, and how growth can be stunted far beyond anything physical. It bravely tackles the idea of reciprocal obsession, albeit in far different ways; how predators become infatuated by their victims and absolve themselves of any wrongdoing by assuring themselves their actions were justified, and conversely how victims become involuntarily inseparable from their predators. It's not an issue that's particularly new, especially within the realms of criminal psychology with things like Stockholm Syndrome, but performances from Rooney Mara, Ben Mendelsohn, and young actress Ruby Stokes, make it convincing. Methods for dealing with trauma are not a one-size-fits-all thing, and so I think there is room for nuance when exploring topics such as these, as long as they're made with the victims in mind."
Disobedience (2017),"When films explore themes of repression within religious institutions, especially ones as authoritarian as Orthodox communities, it seems inevitable that they're going to test the consequences of that repression, and that narrative doesn't really change with Disobedience . However, unlike pious sapphic counterparts like Mungiu's Beyond the Hills , it aims to look at things somewhat optimistically, despite its washed-out grey palette. Through both Rachel Weisz's character's free-spirited nature and Rachel McAdams' character's masked melancholy, we see two sides of the same coin; one which chose to leave the source of her torment, and another which chose to build a life from it. Within this, gaps in the narrative rear their heads, as we never truly get to see what drew Weisz's away, nor what compels McAdams' to stay. But that's where a deeply empathetic performance from McAdams, and almost comparatively powerful performances from Weisz and Nivola paper over those cracks. Without being familiar with the source material, I can't quite say whether Lelio was conflicted on where to end the film, but it certainly felt like it could have ended at least 4 times by my count, and the result is a conclusion which feels too on the nose, and could definitely have benefited from some ambiguity."
Rumble Fish (1983),"Amidst all of the discourse surrounding Coppola's latest release Megalopolis that just screened at Cannes to a, safe to say, mixed response, I decided to visit one of his other features that I have been meaning to watch for some time. With gorgeous black and white cinematography, Rumble Fish explores the activities of a handful of teenage hoodlums, each existing in the limbo of foregone gang violence, a time they reminisce about without having ever experienced it. Our protagonist, Rusty James, longs for an era of purpose, trapped by his own loneliness- his relationships are shallow, he was abandoned by his mother, his father's a drunk, and he constantly lives in the shadow of the mythos of his brother's name. Much like the colourful killer fish that remain separated only by a sheet of thin glass, each of these wannabe gangsters shake with eagerness to become the new apex predator, not knowing that there's so much more out there than the tank they live in."
Chime (2024),"Very much holds the same sort of branch to urban monotony as Tokyo Sonata , but this time imbued with the suffocating atmospheric horror that Kurosawa became known for with Cure and Pulse . Unlike these encompassing masterpieces however, the forces of evil aren't personified into a character that the audience can recognise. Instead, it remains invisible, only contextualised by the jarring sound design that underlies so much of Kurosawa's work. With only 45 minutes, he accomplishes what some filmmakers couldn't with 2 hours, and yet, I still wish this was longer, but maybe that's just me being greedy."
The Draughtsman's Contract (1982),"I don't even know how you'd even begin to write a script this erudite and articulate. In much the same way as you're not really required to understand all the business jargon that each awfully selfish character spouts in Succession , you don't really need to do the same here to understand the motivations behind or consequences of each terrible characters' actions. Nevertheless, the poetry in the eloquent dialogue is simply mesmeric, as is the way the palace and its surrounding gardens are shot."
Burning (2018),"The ultimate film about disparity. Disparity in class. Disparity in wealth. Disparity in societal expectations. I have since read the Murakami short story that this was based on (yet to read the Faulkner version), and while the eerie disquietude of it all remains, the division of wealth isn't as apparent- Haemi's counterpart is noted to be poor, but Jongsu's isn't, rather just less so in comparison to Ben's. Of course, with it being a Murakami work, it was based in Japan too, which also leaves an interesting difference with Lee Chang-dong using Trump broadcasts as well as North Korean propaganda to draw parallels between Eastern and Western political culture. It's really interesting to see the differences between an adaptation and its source, especially since I'm so often more familiar with the former. Aside from that, Burning is still an absolute masterpiece, and still one of my favourite films ever. Also found out recently that it was the highest rated film ever by the Jury Grid at Cannes with a 3.8/4, and yet it didn't win the Palme."
Rango (2011),So glad Gore Verbinski is finally out of director's jail.
Mad Max: Fury Road (2015),"Spectacular. Exhilarating. Mad Max: Fury Road . All words that are synonymous with one another. Not just adrenaline-fuelled, but adrenaline-born; a fiery product of the very gland that stimulates fight or flight. Not only that, but a product of heated happenstance given its infamous behind-the-scenes antics and cursed production. Watching this in preparation for Furiosa , and part of me knows to never align myself with the George Miller doubters, but another part recognises the genius serendipity of Fury Road , a cacophony of brilliance immersed in the dust of post-apocalyptic milieu, and wonders just how Miller could strike gold in this landscape not once, but twice. I suppose time will provide the answer to that question."
Funny Pages (2022),"Always have a soft spot for films that cast people that actually look like real people. Plus this was surprisingly great; quite literally the perfect thing for a nepo-baby to make with how this privileged kid cosplays as some tortured artist surrounded by fake relationships as if that would give him the precedence to become renowned (in a career where most names don't really escape the circles of extreme connoisseurs anyway, much like with cinema)."
Civil War (2024),"Probably enjoyed this more than most because I frankly couldn't care less for American politics and hence some fantastical stretch of the imagination in that respect isn't really going to be that much of a stretch for me. Although, it definitely feels as if people are piling on Civil War as the effective cinematic pariah for this year, and perhaps that wasn't helped by Garland's interviews and A24's promotional material, but it does feel like my assessment of the so-called apoliticism (some are calling it centrism which inherently proves my point that some people don't really have a stance on what this is and are just riding a wave) is different from others'. It feels like, to me, that Garland is saying that there is no such thing as apoliticism in an environment such as this, and seeing things from the quote-unquote objective point of view of a photograph can only lead to desensitisation. Bias is intrinsic to capturing a political landscape, and while it's not a uniquely American means of thinking to demand a stance in the prototypical bipartisan way, the red-pill/blue-pill culture has certainly accentuated that mindset, which is ironic because nowadays they really aren't that different from one another. I'm not saying that Civil War commits where it should, however. The reason why Jesse Plemons' guest appearance in this is so lauded is because it's one of few moments across the film's surprisingly short runtime which dares to attempt at being transgressive. Further, a lot of the dialogue definitely felt like a first draft that was just run with because it was secondary to the atmosphere, which isn't wrong, but it does get frustrating when characters talk in circles. Aside from that, where the film excels is almost solely in its viscera; gunshots actually feel impactful, fire burns hot, and all other sounds of war are terrifying. The whole film acts as this journey for this young journalist to capture ""the single most important picture in American history"", but there's no real subversion or lesson learned that recontextualises that moment by the time the shutter is closed, and everything just sort of happens exactly how the film makes you expect it would- hell I even called the moment where Cailee Spaeny captures the moment Kirsten Dunst dies. So in the end, it's not really any ideas regarding apolitcism that unearths the issues with Civil War , but the lack of gall to deviate from the path and say something truly scathing, and there's tons of directors who could have likely accomplished that better than Garland."
Hot Tub Time Machine (2010),I feel like if I think about this premise for any more than 10 seconds it gets disturbing.
